Blog	golden	songwriter	service	singer	saying	nature	dave	shadow	crowd	bottom	following	seriously	internet	west	ascii	dirty	november	followed	huge	scott	research	singles	chorus	land	resources	process	books	length	festival	false	tonight	tape	web	places	problem	worth	era	production	l	electronic	musical	peel	turns	guy	ended	non	tomorrow	vocals	america	gonna	using	learned	tracks	inspired	hansi	pictures	wave	michael	ryan	camera	meet	links	including	university	tunes	widow	http	library	likely	met	amazing	personal	seven	deal	somehow	father	round	okay	box	bob	visit	fuck	interesting	lunch	performance	london	label	august	tour	among	images	zero	needs	acts	chart	century	epic	entire	access	hair	excellent	drummer	saturday	final	despite	however	news	conference	parker	level	figure	jazz	featuring	career	friday	store	electric	wrote	solo	questions	nick	include	g	local	opening	joy	job	april	perhaps	difficult	theatre	episode	copy	theme	score	possible	team	current	date	data	definitions	twin	industry	act	image	original	cast	pick	science	sense	information	imagine	w	relationship	session	sex	community	funny	recent	link	code	results	led	lee	doubt	clearly	edition	co	ca	cd	moments	near	dr	kept	minor	december	indeed	hall	ep	size	mostly	husband	classic	media	recorded	food	neil	bass	genre	liked	seeing	himself	download	click	attack	ben	anyway	written	sonic	type	acoustic	points	www	shit	digital	pink	guys	vinyl	language	question	reading	margin	totally	bowie	audience	broken	drums	field	students	starting	titled	search	none	folk	luke	throughout	create	understand	bill	excited	per	forward	giving	pagination	lp	latest	buy	studio	mr	several	greatest	bands	christmas	nd	particular	sing	weird	ok	taylor	included	added	recently	pt	due	fucking	issues	fine	sort	studios	van	table	guitarist	itself	example	series	previous	support	awesome	truly	recordings	bright	october	johnny	available	church	straight	format	continue	spring	themselves	uk	magic	system	means	site	ghost	interview	created	loved	photo	welcome	certainly	text	presented	usually	january	happen	british	national	rules	los	history	issue	wonderful	september	jeff	within	win	completely	based	underground	records	stories	whose	features	modern	mine	seem	dog	coast	human	character	johnson	latin	mso	broadcast	shot	nearly	similar	either	general	film	important	public	compilation	members	para	park	recording	fans	simple	simply	f	matt	apparently	mid	mix	add	although	limited	tom	snow	chris	approach	games	trust	plus	gig	focus	happened	releases	released	unfortunately	ideas	college	key	alt	thursday	knows	v	parts	expect	remix	material	july	piano	wall	mike	present	smith	whether	brought	hop	beauty	debut	boston	release	result	asked	player	tune	films	punk	san	note	pages	artist	mean	certain	smile	via	soundtrack	england	blues	vocal	river	tools	pieces	produced	lucky	etc	monday	indie	eventually	guitars	james	title	area	building	heaven	amount	tried	beyond	event	albums	whatever	facebook	plays	singing	becomes	ride	control	mentioned	quality	playlist	exactly	orphan	computer	began	twitter	artists	presents	lights	answer	content	definitely	lyrics	bar	super	jones	thank	main	voices	wonder	normal	parent	share	mountain	built	particularly	yesterday	google	body	collection	dad	mention	south	bear	calling	lake	alive	noise	j	changed	changes	metal	players	cambria	longer	tstyle	brother	quick	sessions	stream	birthday	season	review	cities	earlier	font	aren	hip	various	became	women	tag	york	view	closer	lead
The Girl at the Rock Show	1	7	3	29	3	2	2	2	42	2	4	24	18	1	2	0	2	4	8	2	1	1	1	2	2	8	19	11	3	7	4	0	2	3	3	18	2	2	3	1	18	0	7	18	11	6	1	11	6	2	6	2	29	8	2	10	0	2	3	4	9	1	6	3	10	1	3	7	3	11	13	9	7	6	11	0	5	16	0	1	4	2	6	1	16	2	3	5	40	3	0	0	5	13	0	4	13	13	1	9	0	8	2	1	18	4	3	0	10	4	4	3	4	10	2	4	4	17	16	4	2	7	0	9	17	2	19	9	1	4	3	0	6	5	3	5	6	5	7	0	1	0	3	8	0	7	1	2	0	13	5	2	1	1	0	4	5	4	3	3	2	0	1	2	2	3	2	3	0	19	10	9	1	9	9	1	0	5	20	7	10	1	6	3	7	4	0	1	2	14	15	4	5	1	3	4	34	15	1	3	6	6	12	1	3	0	36	2	1	0	15	2	13	2	16	0	1	3	4	7	3	2	3	5	1	14	4	5	3	13	1	16	5	1	0	13	16	1	2	17	9	63	24	1	10	9	3	6	1	2	1	11	6	2	0	3	24	5	1	3	3	8	1	3	4	10	8	15	15	2	6	8	4	13	3	0	3	4	11	7	2	1	2	10	10	5	16	9	11	14	5	16	1	1	13	4	10	6	2	2	1	11	3	6	8	0	2	2	16	7	1	7	1	1	6	3	3	12	17	0	6	4	0	2	15	2	6	1	6	6	6	12	6	3	0	19	2	2	5	59	0	10	3	1	13	3	7	5	18	0	0	5	3	0	0	2	20	0	5	9	2	29	7	2	31	6	1	2	4	1	8	3	0	5	4	8	3	7	0	0	12	0	5	2	19	43	17	5	3	3	5	1	17	2	12	4	5	8	5	4	1	17	8	9	2	1	0	2	3	7	11	2	13	11	1	13	16	5	3	7	6	10	3	37	41	9	5	5	14	4	2	3	5	9	16	12	1	2	13	6	16	1	12	4	1	9	26	9	6	3	14	7	2	7	6	1	1	2	0	10	16	1	8	13	4	8	2	5	10	1	6	0	1	9	2	1	0	2	6	2	2	5	0	2	7	2	24	4	5	8	5	6	0	10	3	0	16	4	0	19
Web Science and Digital Libraries Research Group	0	0	103	1	19	16	4	0	27	11	133	2	208	5	3	0	20	67	6	35	354	0	0	2	157	70	44	41	0	5	1	2	1111	21	94	15	6	8	123	5	1	0	5	3	29	36	5	0	8	1	310	25	8	24	0	12	1	160	4	4	22	91	86	294	0	0	800	200	21	20	32	82	12	11	0	2	12	0	17	2	22	0	63	99	31	14	35	16	10	31	70	3	34	2	13	5	0	30	172	1	13	0	8	48	8	54	83	223	0	69	93	0	3	58	16	39	1	13	0	79	6	51	145	47	22	1	44	189	12	24	0	8	45	13	24	40	77	108	133	612	7	0	35	13	78	111	2	7	129	9	200	5	42	15	285	4	86	5	52	202	115	111	12	13	0	10	2	129	16	12	6	19	148	6	5	14	4	7	0	31	17	2	3	115	23	3	0	0	1	6	17	4	27	25	3	9	3	27	0	138	0	18	184	0	441	0	2	1	170	62	21	19	4	0	56	10	0	46	138	23	50	151	9	1	0	7	72	29	8	14	47	30	14	4	0	16	2	1	1	61	2	0	0	8	26	0	0	23	8	48	25	24	6	42	0	50	8	10	0	34	46	0	25	184	43	50	101	14	4	7	4	23	0	164	4	3	134	20	35	19	55	7	147	44	92	1	13	118	5	19	28	5	172	350	9	22	8	20	71	10	16	60	27	9	34	2	47	13	12	181	7	27	43	8	43	12	8	5	1	0	44	21	1	1	0	2	6	10	48	31	49	3	59	93	1	45	1	10	14	15	52	15	59	8	5	2	4	35	46	14	9	4	7	59	29	6	5	0	38	7	1	41	22	35	31	54	1	13	5	22	14	10	0	29	38	0	3	5	72	35	19	10	0	3	0	5	23	43	54	4	0	2	0	27	42	206	4	22	14	1	60	1	17	0	0	3	150	5	16	5	61	9	0	11	0	6	58	36	63	1	24	10	18	64	0	4	47	4	2	12	0	46	72	53	1	4	0	99	36	196	11	9	1	46	330	6	5	8	9	19	10	59	1	1	3	5	28	3	32	16	2	144	7	103	1	11	4	0	15	2	24	4	30	39	53	1	6	0	39	0	1	15	102	16	3	35	36	3	29	0	7	0	114	9	174	33	14	53	4	23
Rosie Gigg A2 Media Studies	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	1	1	0	0	0	0	0	6	0	0	0	0	2	0	0	0	3	1	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	12	0	4	1	0	1	3	0	0	2	8	0	0	0	0	1	0	2	0	0	0	12	0	3	0	0	0	0	0	1	0	0	0	4	1	3	0	3	1	0	0	0	0	0	1	7	0	0	2	0	0	3	1	0	1	1	0	0	1	3	8	5	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	8	0	0	0	0	9	14	2	1	1	0	0	0	0	1	0	2	0	0	0	0	6	0	0	1	0	0	0	0	0	0	16	1	0	2	1	0	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	0	0	1	0	4	0	4	1	0	2	0	0	0	0	2	0	0	0	9	0	3	0	1	0	0	0	0	5	3	0	1	0	0	0	0	4	0	0	2	1	0	0	1	0	3	4	2	0	1	0	0	1	2	0	2	0	0	2	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	1	2	1	6	0	0	1	2	0	0	0	0	1	0	0	0	0	1	9	0	10	0	0	13	1	1	0	0	0	3	0	0	1	0	0	0	0	1	1	1	7	1	1	1	1	0	1	0	2	0	1	1	1	1	2	10	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	3	1	0	0	0	0	2	0	0	0	16	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	40	0	0	0	3	0	0	5	0	1	0	0	3	0	0	0	1	0	0	1	0	3	0	0	0	0	3	2	14	1	2	0	1	1	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	1
*Sixeyes: by Alan Williamson	2	2	0	3	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1
Steel City Rust	6	1	10	5	2	1	12	0	5	3	5	10	2	8	0	0	1	3	5	2	2	5	6	0	0	0	5	3	1	0	9	3	0	4	8	9	8	5	2	5	3	1	6	7	6	6	1	11	4	6	8	5	14	1	0	5	15	0	0	10	1	0	3	0	0	0	0	0	6	0	2	5	5	7	13	0	1	5	1	5	4	7	22	0	4	0	9	4	4	4	1	0	4	1	0	2	6	4	0	4	2	10	3	1	19	10	5	0	0	2	0	1	2	4	5	8	6	4	7	4	7	1	6	6	2	0	12	2	5	2	0	1	17	3	0	5	3	10	3	0	0	2	0	4	4	19	2	6	0	16	2	5	0	1	4	3	0	6	3	6	2	2	5	0	2	4	2	3	0	9	2	8	5	3	3	1	4	1	3	8	3	1	25	2	7	3	66	3	0	25	6	3	0	0	2	4	3	5	2	4	2	2	0	4	7	4	6	16	0	5	12	0	2	3	1	3	3	0	0	2	13	2	6	4	1	0	2	6	2	1	2	1	2	0	6	3	0	4	2	1	5	7	7	1	8	3	9	5	1	5	2	10	0	4	5	3	3	4	0	2	0	11	9	9	15	7	1	6	10	0	3	2	5	2	3	4	7	2	1	4	3	1	4	7	6	3	1	4	1	24	6	13	0	0	1	2	5	10	4	4	0	6	4	9	1	1	2	1	5	2	0	8	4	8	3	6	10	13	1	4	6	4	0	0	0	3	13	2	11	19	8	4	10	3	1	1	0	9	0	10	4	10	1	11	14	1	5	2	12	1	7	6	1	10	1	0	3	0	0	12	1	7	4	1	9	10	0	4	4	1	6	6	0	10	1	1	6	4	5	0	6	3	2	0	9	1	9	13	4	1	3	1	18	5	4	2	4	17	8	2	1	1	3	9	11	7	0	0	0	1	0	3	4	4	3	1	9	7	5	4	2	2	3	1	11	6	1	3	1	1	3	6	3	6	0	5	0	0	11	0	3	2	4	6	3	6	12	15	9	0	6	6	15	10	5	0	1	4	6	0	5	7	3	5	0	3	18	2	1	7	2	4	6	4	3	5	0	0	6	0	0	3	0	0	5	1	3	1	3	0	6	0	2	1	4	2	1	5	4	14
Flatbasset	10	16	4	53	4	7	3	16	6	1	21	6	50	21	0	5	12	5	11	8	1	20	48	21	0	6	1	14	4	15	6	22	11	2	21	35	10	12	4	12	10	0	23	32	2	11	6	84	15	2	8	6	38	4	0	10	4	1	25	5	5	0	1	3	7	1	0	4	14	0	2	27	8	10	10	4	5	4	2	11	1	7	20	1	17	3	15	12	8	4	0	2	8	3	0	3	15	6	21	4	22	3	2	111	17	81	1	0	7	4	8	11	3	19	1	3	15	14	40	4	37	1	5	56	16	19	11	20	14	11	2	297	8	4	110	12	3	92	9	7	0	126	154	7	8	12	23	22	3	34	11	21	78	9	4	4	3	2	3	36	0	1	4	6	7	12	8	21	1	3	13	6	2	7	9	6	3	20	92	2	13	3	26	0	28	18	5	27	23	1	30	11	96	51	1	6	25	17	6	15	12	4	0	17	6	12	27	3	3	8	13	1	7	9	8	13	26	18	2	7	6	2	19	13	0	14	12	15	6	19	19	20	64	0	15	8	8	6	10	11	16	55	17	17	3	16	1	9	1	3	3	1	25	19	11	12	21	37	1	19	4	10	11	19	3	75	41	6	3	0	5	8	10	43	4	33	18	7	20	6	0	10	5	30	6	9	2	26	7	10	89	25	1	6	7	26	4	20	3	4	3	15	3	0	10	3	10	8	35	26	11	57	3	3	14	32	9	26	13	9	47	3	0	0	0	0	7	23	5	14	2	3	4	5	3	5	0	7	8	121	12	11	7	2	0	9	79	9	1	4	5	3	10	6	0	9	25	2	7	5	7	21	32	30	9	3	4	0	22	2	6	3	11	3	12	13	9	53	10	3	35	4	56	7	32	0	23	8	1	52	2	0	32	2	18	4	37	29	14	1	63	15	11	17	15	10	0	4	10	5	6	2	54	11	50	11	61	5	8	5	12	5	14	0	129	8	109	1100	16	7	11	3	18	11	4	7	0	1	10	146	60	19	17	9	4	31	93	6	8	11	11	3	7	14	1	3	6	6	23	12	6	1	5	11	4	1	5	7	7	15	2	8	5	5	5	2	2	0	13	0	7	7	1	59	4	13	14	113	6	0	14	55	19	6	6	0	9	4	8	29
If You Give a Girl a Camera...	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
What Am I Doing?	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	4	0	0
MTJR RANTS & RAVES ON MUSIC	65	57	6	76	7	28	34	41	10	169	41	1	2	29	304	27	58	21	12	37	4	64	12	36	1	23	5	84	26	566	12	53	3	13	2	28	36	41	39	115	79	2	23	12	7	14	40	97	24	7	23	4	195	43	304	3	44	40	24	16	11	0	57	3	18	156	1	9	2	15	48	33	28	15	8	18	10	0	77	28	4	14	5	13	25	46	64	36	52	15	11	11	16	19	9	25	25	14	8	9	22	52	7	27	11	22	10	0	9	16	5	25	69	26	3	11	45	16	115	7	37	34	12	13	33	31	7	68	17	5	10	1	9	313	11	9	12	19	41	4	152	20	8	18	14	95	14	7	8	42	4	3	143	8	17	12	6	3	20	3	6	14	26	34	14	12	349	42	4	517	23	13	4	14	311	32	4	19	752	457	13	6	64	1	183	4	30	88	20	51	5	22	19	0	14	52	5	45	84	6	55	7	0	7	37	25	7	70	27	7	9	304	12	21	11	37	78	35	2	9	31	10	61	65	15	27	33	7	28	6	1	26	6	152	110	25	1	159	19	23	20	62	1	14	53	24	16	4	19	17	12	18	824	11	7	4	14	11	55	41	311	43	31	12	54	35	13	13	28	85	37	73	25	24	15	13	12	12	20	18	37	46	9	7	3	51	1	20	14	3	15	14	3	5	9	81	5	28	11	5	36	57	16	9	50	22	35	6	17	66	34	141	19	32	87	57	9	9	33	25	30	10	12	305	2022	13	13	16	10	53	11	53	10	23	71	62	305	28	119	52	29	18	25	50	2	12	39	8	11	38	35	14	71	31	6	16	35	8	27	11	226	136	3	25	3	19	168	1	16	18	23	8	70	49	63	42	16	35	29	42	9	20	11	32	210	5	189	36	7	22	14	4	94	50	12	5	56	5	3	5	19	71	7	37	37	41	3	25	80	5	20	2	41	13	55	58	40	7	11	40	7	4	36	14	149	24	0	12	15	12	17	27	5	16	1	14	152	7	43	0	209	54	25	8	4	10	48	12	45	23	4	13	62	13	199	154	6	30	18	9	10	0	56	135	0	21	16	31	11	27	17	51	33	8	11	26	6	350	10	304	13	3	53	7	5	12	6	5	10	912	2	12	174	33	3	1	54	16	15	50
ΜΕΣΑ ΣΤΗ ΒΡΩΜΙΑ	5	0	0	0	0	1	7	6	0	2	0	0	0	4	0	8	0	0	0	29	0	0	1	8	0	1	0	0	3	0	5	0	0	3	0	0	0	0	59	1	0	0	1	1	0	0	1	0	1	6	0	1	17	0	0	1	3	3	0	2	0	0	0	0	0	1	30	0	0	0	0	1	0	0	0	1	3	0	2	11	1	1	0	7	0	2	0	0	0	0	0	2	1	1	0	1	1	0	0	4	0	0	3	1	0	0	10	2	3	0	0	29	0	0	0	0	10	1	4	0	20	0	8	0	3	10	0	1	0	0	0	0	0	24	0	0	1	0	0	0	0	9	0	0	7	0	0	4	2	0	4	0	2	0	0	4	0	2	0	33	2	0	0	27	0	0	1	0	0	0	3	1	8	0	3	1	0	3	5	3	0	0	0	0	0	2	7	2	0	0	0	1	28	0	7	4	0	0	12	0	1	1	50	2	0	8	0	5	1	0	0	0	0	21	0	6	2	3	0	0	0	2	0	0	0	0	0	0	16	0	0	3	1	0	0	0	0	0	14	2	2	0	0	7	0	2	5	0	13	0	0	0	18	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	6	1	6	0	3	3	0	0	2	0	0	7	1	0	3	17	0	0	1	0	2	0	0	0	0	0	1	0	4	1	0	4	0	2	0	2	1	0	1	0	7	9	1	0	0	7	4	1	8	1	0	0	4	1	0	2	2	0	0	1	0	3	0	10	4	0	0	0	0	0	2	0	2	2	0	0	2	0	0	1	38	0	1	0	1	1	0	0	1	2	0	0	0	0	0	2	1	0	2	5	0	0	4	0	2	3	1	6	0	12	0	0	0	3	0	0	0	0	2	0	2	0	2	1	5	0	0	1	3	2	0	34	2	53	0	6	0	3	0	0	0	1	0	0	0	26	2	0	0	6	0	0	3	0	0	1	0	0	0	0	3	3	0	0	8	1	0	1	0	0	2	1	6	0	0	0	0	0	2	20	1	3	2	1	0	0	0	11	2	0	9	0	5	0	0	0	1	1	3	1	0	1	28	0	0	1	2	0	1	0	5	0	1	0	2	2	0	2	0	0	0	0	0	0	1	0	9	2	3	0
F-Measure	2	8	1	13	7	1	9	24	3	1	3	3	1	1	0	0	4	4	6	14	2	19	14	10	0	2	4	7	4	1	8	7	9	4	9	10	11	16	4	6	7	9	13	6	7	14	6	24	3	12	4	10	47	8	0	1	8	7	1	12	1	21	18	0	1	0	0	0	4	0	9	4	11	8	11	14	1	1	9	16	1	2	19	2	9	5	18	2	9	1	2	3	8	3	0	0	5	30	1	3	22	6	5	56	11	7	2	0	0	6	6	12	12	15	2	4	7	7	16	0	1	7	31	11	8	11	8	1	23	2	0	3	11	18	62	7	1	4	2	1	0	4	0	4	6	37	2	5	0	13	0	6	7	3	11	10	1	2	10	33	0	2	2	10	6	9	3	4	12	31	4	3	1	1	7	1	1	5	55	5	16	1	28	1	28	1	9	8	25	11	1	2	2	0	1	0	5	16	8	1	10	6	1	3	2	24	7	12	0	7	12	0	1	13	12	14	7	0	1	9	8	4	39	10	0	1	3	3	6	1	0	6	7	0	495	4	5	76	1	14	5	30	3	6	3	7	3	16	3	4	4	18	0	4	4	1	6	6	0	14	1	11	17	18	7	16	3	1	2	3	1	3	14	17	6	9	6	4	0	10	11	4	0	9	4	6	7	4	7	0	12	5	0	2	0	0	2	1	4	0	1	13	9	0	1	4	7	1	11	21	4	25	7	7	16	9	4	9	3	5	1	3	7	1	0	2	5	25	16	29	6	35	7	5	7	13	0	3	21	11	13	24	4	5	22	15	40	6	60	6	7	1	2	2	0	3	1	1	6	11	12	69	12	1	28	0	12	1	7	5	12	2	11	29	4	3	6	10	6	9	5	4	11	0	24	3	32	13	6	1	1	5	44	2	9	0	13	11	4	22	5	25	3	14	6	2	0	3	9	4	20	0	7	16	1	19	22	3	6	11	5	2	8	2	1	8	0	4	7	8	1	1	11	11	12	6	0	3	4	0	17	0	1	2	0	0	34	6	18	7	0	4	4	14	2	1	4	0	4	0	8	4	7	32	3	12	4	0	9	4	1	1	3	9	9	37	0	0	8	0	4	11	10	0	11	2	121	0	15	0	8	12	16	13	2	0	3	2	3	22
The Listening Ear	7	4	3	9	12	8	6	1	3	2	4	4	8	22	0	4	3	9	15	20	0	2	1	13	5	7	16	2	1	0	5	4	1	22	24	17	8	5	7	1	16	1	11	13	14	3	10	9	11	2	10	4	9	8	0	4	8	4	1	18	4	3	6	0	4	2	0	1	36	3	3	6	1	21	21	28	20	12	12	14	1	3	45	1	20	3	0	9	10	14	3	4	11	10	0	18	4	1	1	5	9	3	1	11	6	6	19	0	4	12	10	8	5	20	97	7	4	14	24	4	22	4	1	6	9	10	17	17	4	7	0	4	6	7	5	14	52	3	6	11	0	1	6	25	7	9	5	24	2	35	5	20	0	8	1	11	3	20	12	3	0	16	20	55	13	4	5	4	2	9	9	10	2	25	3	5	14	2	0	4	41	5	9	4	0	9	7	10	4	37	23	24	0	1	50	8	54	17	9	5	2	6	1	3	0	23	22	1	4	5	19	2	6	33	3	9	3	14	0	30	0	4	14	4	0	8	7	7	13	2	2	18	10	0	4	3	5	1	31	8	7	92	26	4	13	14	11	2	7	0	6	2	3	4	4	4	25	15	0	12	2	3	43	4	38	2	7	0	3	3	0	8	19	2	10	14	1	17	23	27	2	2	8	19	2	9	2	6	15	0	4	35	2	0	22	3	13	21	10	3	1	39	6	9	5	0	6	76	30	7	11	96	25	7	3	7	12	62	6	2	17	10	17	0	0	0	22	5	11	28	18	172	17	8	2	0	0	5	7	9	19	1	3	3	13	14	13	10	0	1	7	19	8	2	28	3	11	3	4	26	3	12	7	15	10	3	0	1	22	10	13	21	0	31	7	5	16	9	6	8	14	24	4	7	0	16	4	6	1	9	4	103	49	5	5	1	8	21	6	1	2	1	25	19	2	6	1	13	4	7	25	4	0	16	23	16	1	5	4	4	9	17	11	8	1	35	6	10	24	11	8	17	7	3	0	24	0	24	11	2	19	1	1	14	6	9	20	3	5	2	1	14	11	14	7	0	10	8	13	25	8	0	4	7	2	9	30	2	7	3	17	17	0	18	12	10	21	0	9	0	22	9	3	0	4	15	1	2	9	0	29	1	5	20	14	2	9	4	15	5
